id,sub,context
1001,Rainwater_Harvesting,"But now, waste is put into this air-vent, once it is disused, the tendency to disuse it is even more, he adds. The village has borewells now and people use this water.We decide to go back and outside the suranga and trace the suranga from this outlet through the six vents to the other end at the other side of the village. We visit a tea shop near one of the air vents of the surangas. Ramakrishna Nayak ji, who has been running the shop since the last ten years informs us that this was an isolated place with very few families earlier and he used to draw water from this air vent. But now, waste is put into this air-vent, once it is disused, the tendency to disuse it is even more, he adds"
1002,Rainwater_Harvesting,"A brief look at the historical development of traditional rainwater harvesting systems of India ans also issues, need and relevance of RWH in the urban context The document informs that traditionally Indians worshipped both water and rain as “Jala” and “Varuna”. Even rivers were worshipped. Till 3000 B.C., RWH happened without human effort as rain got collected in rivers and natural depressions. Civilizations flourished on river banks all over the world Indus valley civilization in India. From 3000 B.C. to 1800 A.D., RWH happened with human effort. Indians harvested rainwater using different methods. These methods depended on local conditions. However, Since 1800 A.D. traditional systems of RWH began to deteriorate. The reasons included: Lack of understanding of these systems by the British during their rule till 1947 British wanted to be the provider of water and took over the management and ownership of water bodies. This attitude continued by our Indian rulers even after independence – 1947. Increase in urbanization lead to destruction of water bodies. Lack of awareness and apathetic attitude of urbanites The urban context Unlike in the past, present day urbanization has resulted both in shrinking of open spaces and very minimal area remaining unpaved. This has ultimately resulted not only in flooding of cities but has also caused water scarcity due to groundwater depletion in general and saline intrusion in coastal cities. Urban rainwater harvesting, due to lack of open space for capturing the runoff, is mostly in sub-soil storage as groundwater by injecting large amounts of rainwater into the soil during rains. RWH in urban areas also consists in reviving whatever water bodies that are left behind without allowing any further construction in them in future. This will be an activity at the macro level and will have to be undertaken by the government. At the micro level every resident/individual should implement both rooftop and driveway runoff harvesting in their respective homes, commercial complexes, office premises, factories etc. The article goes on to describe the step by step mechanisms to implement RWH at the microlevel."
1003,Rainwater_Harvesting,"This paper published in the Indian Journal of Traditional Knowledge provides a brief overview of the the Ahar-Pyne system, a traditional water harvesting system still practised in the south Bihar plains of India and argues that these traditional water harvesting systems that have existed in India since a very long time are relevant or perhaps even more relevant in today's times and that there is an urgent need to revive these systems taking into consideration India's vulnerability to climatic changes and disasters and the increasing need for having sustainable water management systems in the future. The paper informs that there has been a growing attention to local management of common property resources and recognition of the potential of farmer managed irrigation systems. Many indigenous systems provide good examples of farmer management and are being studied for learning about the principles of management. However, these traditional water management systems are increasingly being replaced by the other faster means of groundwater extraction systems, which are less labour intensive for the farmers in the shorter run, but tend to be ecologically exploitative and unsustainable in the long run. The article goes on to describe the details of the Ahar-Pyne system and its evolution, an overview of the physical features of the state of Bihar and the current status of the system. The reasons for the success of the system in the past have been attributed to the following factors: Fragmented land holdings and equity in water distribution Cheap source of irrigation Uniformity in cropping Collective action The institutional and management issues in this system include: Equity in allocation and distribution of water Community participation and distribution of responsibilities Repair and maintenance Central control There has been a decline in the area irrigated by the ahars because of the following reasons: Abolition of the Zamindari system Development of new irrigation sources Lack of convergence between old and new systems The paper argues that even though the current picture indicates a gradual decline in the use of traditional water harvesting systems and they being replaced by modern techniques of surface and groundwater harvesting, it is very important and essential to revive these old systems as: There continue to be huge delays in the implementation of centralised major and medium irrigation projects, which need huge amounts of money and continue to be marred by technical, political and social gliches Traditional systems are easier to maintain in terms of cost and quality and the involvement of beneficiaries in repair and maintenance makes it sustainable in terms of quality and cost Traditional systems continue to be sustainable in the long run and minimise wastage The paper describes the current efforts being made in Bihar to revive these traditional systems and ends by arguing that urgent efforts need to be made to explore the possibility of revival of these sytems through: Encouraging more research on traditional water management systems by experts Converging these systems with various government programmes Encouraging people's participation and collective action for use and revival of"
1004,Rainwater_Harvesting,"Taankaas are considered as safe deposit lockers of water in Gujarat. They have been storing every drop of water that falls down and quenching the thirst of households for decades.Rainwater harvesting is not a new science in India. There are several traditional practices across the country where rainwater was stored safely and used in times of need. One such example is the 'Taankaa' system in Gujarat. Around 10,000 houses in the city of Ahmedabad have large underground tanks or 'taankaas' that can each store 25,000 litres of rainwater. These serve as mini reservoirs for families during water scarcity. When tested for quality, they have proven to meet WHO norms."
1005,Rainwater_Harvesting,"Case studies about families and companies who have successfully harvested rainwater in their premises, proving that rainwater harvesting is both feasible and beneficial.You can harvest rainwater in your house, factory or office. Read these case studies about families and companies who have successfully harvested rainwater in their premises, proving that rainwater harvesting is both feasible and beneficial. These case studies, written by Shree Padre, have been taken from Indiatogether.org Shree Padreis a journalist with many years of experience in agricultural reporting and the author of a book on rainwater harvesting published by Altermedia. Independent houses Apartment blocks Coastal areas Campus/Corporates Shri Anupam Mishra has done intense research and documentation on the rise and fall of traditional rainwater harvesting structures. Acknowledged as an authority on the subject, Shri Mishra has written two books; ‘Aaj Bhi Khare Hai Talaab’ in Hindi and ‘The Radiant Raindrops Of Rajasthan’ (English), or ‘Rajasthan Ka Rajat Boonde’ (Hindi) on rainwater harvesting in the harsh Thar desert of Rajasthan.‘Bringing Home Rain’ is a must watch video for all. Produced by Arghyam and directed by the Rainwater Club, the video is about households who overcame hardships of water scarcity by rainwater harvesting. Prior to this, women drew water more than ten times a day for their personal chores and wasted almost four days of labour in a week to fetch water. By storing rainwater in a simple cement tank built adjacent to their house, the women were able to draw water for their domestic work in their premises itself. A must watch video for beginners.Independent houses: You can increase the water supply in your house in a cost efficient way by harvesting rainwater. With an one time investment of Rs.12000/-, Mysore based H Ramesh installed a rainwater harvesting system on his terrace. He is now able to meet demand for water for his five member family for a whole year. Read the complete case study at The Gift From The Sky Apartment blocks: Residents living in apartment blocks often purchase water from tankers to meet their needs. Rainwater harvesting will enable them to boost their water supply and reduce if not completely remove their dependency on water tankers. When the five open wells of the 140 flat Bayview Apartments in Chennai went dry in 1999, a resident's vision motivated the collective effort by all residents to harvest rainwater in the premises. The season’s bountiful rainfall led to a six to eight metres increase in the water table in the area. Read More about how the residents benefited by captive rainwater harvesting in Water Deposit Revives Open Wells. Coastal areas: When water in land based wells or aquifers is contaminated with sea water, then it becomes unsuitable for human consumption, and leads to shortage of drinking water. The Christian Educational Institution, a school near Mangalore, built a massive rainwater harvesting tank as a solution to the regular shortage of drinking water. Its successful efforts are inspiring nearby schools, industries and factories to harvest rainwater in their premises. Read more"
1006,Rainwater_Harvesting,"The Veera Narayana temple of Gadag, Karnataka is well known to lakhs of people. Kumara Vyasa, it is told, wrote the great epic Mahabharatha in poetry form, sitting inside this temple. The temple is located in the town of Gadag, which is also the headquarters of Gadag district.The historical temple is making history again. From many years, water in the open well of this temple was saline. So much so that, if copper vessels were washed with this water, they would turn black. Not surprisingly, water was being pumped from a bore well for all the uses at the temple. In earlier years, there used to be some water in the well, but nobody was using it for any purpose. Due to declining water table, it turned almost empty since the last 12 years. By the end of summer, it used to dry completely. In the meantime, the first bore well was dug here about a decade ago. Within years, it dried up. Then they had to go for another. This way, the temple dug four bore-wells in a decade! Only one has water now. This water is used as naivedya, theerth and for cooking purposes now. Fortunately however, there was no move to fill the well up. Thanks to rain water harvesting, the same open well has started serving people round the year again. Not only has the quantity, but the quality of water also improved. Though the temple authorities haven't got it tested, for a layman it appears quite potable. Points out Prahlad Acharya, Temple Manager, ""Unlike long ago, now dal cooks very fast in this water."" Gadag district rarely gets its annual average rainfall of 750 mms. There is severe water scarcity in many parts of the district. This success should be an eye-opener to the drought-hit villagers who are ignorant about rainwater harvesting. It was in 2005 summer that under the 'food for work' scheme of the District Panchayat a big percolation pit was dug near the open well. The horticulture department also offered guidance for the work. The pit was ready before that year's monsoon began. The pit is 12 feet long, eight feet wide and has a depth of six feet. Except for two feet, the entire well is filled with filter media like blue metal. For readers who are wondering, blue metal is called 'jally' in local parlance, and is also used while tarring the road. Generally, two sizes of jally are used, one larger than the other. In percolation pits, lowest layer is of bigger jally; middle layer is of smaller jally. The topmost layer is of sand. It is sand that actually filters the run-off. The bottom layers of jally gives lot of air-space for the water for faster percolation into the sub-soil. The temple premises cover an area of 9,000 square feet. Two years ago, the whole area was covered by stones. Till then, all the rainwater that had fallen on the ground used to run away. After laying of"
1007,Rainwater_Harvesting,"Rainwater harvester in Kolar prefers ‘to give water to the Earth’ in the arid district. Even as the depletion of water level in sources gives rise to debates of various kinds, here is a farmer who has provided a solution of sorts to the problem.Farmers all over the district are dependent on rainfed agricultural system and are all worrying about the fast growing aridity of land on the one hand and the speed at which the level of ground water is falling on the other hand. The overuse of ground water by sinking too many borewells has become a major issue of concern in all five taluks. In contrast stands Ashok Reddy, an organic farmer of Rampur in the taluk- instead of depending on the water provided by the borewells, he has, in turn managed to refill a dried-up borewell in the middle of his farm."
1008,Rainwater_Harvesting,"These two case studies describe a study that explored the hydrological impacts of rainwater harvesting in the Arvari river catchment in Rajasthan.Part 1 looks at the field scale impacts and reports the results of a 2-year field study in the 476 km2 semi-arid Arvari River catchment, in Rajasthan, where over 366 RWH structures have been built since 1985. Rainwater harvesting (RWH), the small-scale collection and storage of runoff to augment groundwater stores, has been seen as a solution to the deepening groundwater crisis in India. However, hydrological impacts of RWH in India are not well understood, particularly at the larger catchment-scale. A key element to grasping RWH impact involves understanding the generated recharge variability in time and space, which is the result of variability in rainfall-runoff and efficiency of RWH structures. There are very few reported empirical studies of the impact of RWH. Catchment-scale impacts are best studied using a water balance model, which would require a basic level of field data and understanding of the variability. As a part of this study, potential recharge estimates from seven RWH storages, across three different types and in six landscape positions, were calculated using the water balance method. These estimates were compared with recharge estimates from monitored water levels in 29 dug wells using the water table fluctuation method. The average daily potential recharge from RWH structures varied between 12 and 52 mm/day, while estimated actual recharge reaching the groundwater ranged from 3 to 7 mm/day. The large difference between recharge estimates could be explained through soil storage, local groundwater mounding beneath structures and a large lateral transmissivity in the aquifer. Overall, approximately 7% of rainfall was recharged by RWH in the catchment, which was similar in the comparatively wet and dry years of the field analysis. There were key differences between RWH structures, due to engineering design and location. These results indicate that recharge from RWH affects the local groundwater table, but also has potential to move laterally and impact surrounding areas. Part 2 looks at catchment scale impacts. A conceptual water balance model, based on field data from the Arvari River catchment, was developed to study and understand catchment-scale trade-offs of rainwater harvesting (RWH). The model incorporated an effective representation of RWH function and impact, and worked on a daily time step. Catchment spatial variability was captured through sub-basins. Within each sub-basin, hydrological response units (HRUs) described the different land use/soil combinations associated with the case study catchment, including irrigated agriculture. Sustainability indices, based on irrigated agriculture water demand, were used to compare conceptual management scenarios. The results showed that as RWH area increased, it reached a limiting capacity from where additional RWH structures did not increase the benefit to groundwater stores, but reduced stream flow. If the irrigation area was increased at the optimal level of RWH, where the sustainability indices were greatest, the resilience of the system actually decreased. Nevertheless, RWH in a system increased the overall sustainability of the water resource for irrigated agriculture, compared to a"
1009,Rainwater_Harvesting,"Self reliance in water, a practical manual for city and town dwellers by Indukanth Ragade, describes the what, why and how of the paths towards self-reliance in water.Every one of us, would love to have ready access to good quality water in adequate quantity to meet our daily needs. Paradoxically, in spite of all the technological progress the country has made in the many decades since independence, ready access to good water for our daily needs is yet to become a reality in most of our cities, towns as well as villages. In thousands of villages, women still have to walk long distances daily to collect potable water. In cities and towns, groundwater levels are falling and potable water is increasingly being purchased. While the powers that be have taken various steps in these 57 years, their impact at the individual household level has been none too encouraging. Therefore it is important that we citizens should strive, in our own selfish interest, to alter this sad state of affairs. And we can make a difference if only we put in efforts at the micro level - at the individual level, at the household level, at the neighbourhood level and at the community level - to reduce our dependence for water on external sources. The tremendous advantage in acting at the micro-level is that we have the maximum control and influence on any activity undertaken by ourselves and we can therefore be that much surer of achieving results and reaping benefits of our efforts. Three steps to self-reliance in water And what are these efforts that can confer on us - town and city dwellers - that vital self-reliance in our daily water needs ? In essence, they are three fold: 1. Harvesting rainwater Unlike many other areas in the world, our country is very fortunate in that it receives substantial rainfall from its two monsoons. If only this rainfall is tapped, can it meet fully our most essential daily need, i.e. water for our cooking and drinking needs, in every town and city - even in areas where the annual rainfall in scanty. And what is more, it can meet from 20% to 100% of the total water needs of practically all towns and cities, depending on the rainfall in that place and its population.i.e. tapping rainwater wherever and whenever it falls, and diverting it to an appropriate storage for our use later. 2. Purifying used water and putting it back for reuse The water that we use for bathing, washing of clothes and cleaning the floors constitutes 50-60% of our total daily water usage. If only we clean this slightly contaminated water used for these purposes, it becomes available for fresh use again. 3. Conserving the water available for our daily use Knowingly or unknowingly, we use water wastefully in our daily activities. Conservation of water is nothing but realising the value of water and adopting simple techniques of using available water more efficiently for various uses in daily"
1010,Rainwater_Harvesting,"Chhattisgarh ranked number 1 in the country for providing domestic water connections in 2014-15 under the National Rural Drinking Water Programme (NRDWP). Despite this, the government has failed to provide safe and clean drinking water to many who are still affected by fluoride, arsenic and iron contamination. 17 out of 27 districts, which includes 592 villages, show fluorosis as one of the major public health problems. 1700 government schools in Chhattisgarh don't even have basic water facilities in the villages, which is ironic given that ""Chhattisgarh receives an average rainfall of 1200 mm, but does not harvest even 10 percent of the rooftop water for drinking purposes"", says Paras Yadav, a trained hydrologist working with Samerth, an NGO working on water and other social issues in the state. Rooftop rainwater harvesting is the technique through which rainwater is captured from the roof and stored for use later. Harvested rainwater can be stored in sub-surface groundwater reservoirs or in storage tanks. Advantages of using rooftop rainwater harvesting Provides self-sufficiency to water supply. Reduces the cost of pumping groundwater. Provides high-quality water that is soft and low in minerals. Improves the quality of groundwater through dilution when recharged to the ground. Reduces soil erosion in urban and rural areas. Is a cost-effective and simple technique. RWH structures easy to construct, operate and maintain. In saline or coastal areas rainwater provides good quality water, and when recharged to the ground, it reduces salinity and also helps in maintaining the balance between the fresh-saline water interface. In Islands, due to the limited extent of freshwater aquifers, rainwater harvesting is the most preferred source of water for domestic use. Rooftop rainwater harvesting in Chhattisgarh A rooftop rainwater harvesting model was constructed by Samerth at Madiya Kachar village in Bilaspur district to combat the contaminated water that the community, which was predominantly the Baiga tribe, had access to. The model structure had a capacity of 66,000 litres and was set up at the primary school building at Madiya Kachar. The school was chosen for the following reasons: It had a flat roof that could capture maximum rainwater. The number of school going children at Madiya Kachar was higher than those at nearby schools. Iron contamination was highest in the village. The dropout rate of school going children was rising rapidly due to the non-availability of drinking water within the school premises. The drinking water source was 1km away from the school building. A village committee was formed and the school and Aanganwadi staff were trained in order to maintain and monitor this rainwater harvesting structure. ""Implementation of rooftop rainwater harvesting at the household level is not possible right now in rural areas because most of the houses at Madiya Kachar have earthen roofing tiles that require high maintenance and monitoring"", says Suvigya Pathak, Senior Programme Coordinator, Samert, Chhattisgarh. The villagers now have access to clean and safe drinking water, and are also not dealing as much with scarcity. Neighbouring villages are trying to replicate this model"
